tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,sidewalk,problems,trunk_wire,brch_shoe,address,borough
204202,415447,2015-09-05,12,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,Damage,Stones,No,No,328 THOMAS STREET,Staten Island
184031,504204,2015-08-29,3,0,OnCurb,Alive,Good,Acer rubrum,red maple,NoDamage,None,No,No,223 EAST 179 STREET,Bronx
201494,406253,2015-09-04,24,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,Damage,Stones,No,No,6 ALLISON PLACE,Staten Island
208346,106403,2015-09-07,20,0,OffsetFromCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,418 COLUMBUS AVENUE,Manhattan
181710,207966,2015-08-28,13,0,OnCurb,Alive,Good,Quercus phellos,willow oak,NoDamage,None,No,No,267 WEST END AVENUE,Brooklyn
178382,106001,2015-08-26,12,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,NoDamage,None,No,No,520 EAST 20 STREET,Manhattan
193690,227528,2015-09-01,36,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,Damage,Stones,No,No,6018 24 AVENUE,Brooklyn
196089,310255,2015-09-02,29,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,Damage,Stones,No,No,84-037 124 STREET,Queens
191988,102326,2015-08-31,6,0,OnCurb,Alive,Good,Quercus phellos,willow oak,NoDamage,None,No,No,73 WEST HOUSTON STREET,Manhattan
203720,302371,2015-09-05,9,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,20-025 24 STREET,Queens
189339,219520,2015-08-30,18,0,OffsetFromCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,79 HALL STREET,Brooklyn
208230,106402,2015-09-07,13,0,OffsetFromCurb,Alive,Fair,Platanus x acerifolia,London planetree,NoDamage,TrunkOther,No,No,1 WEST 81 STREET,Manhattan
204413,204940,2015-09-05,13,0,OnCurb,Alive,Good,Quercus phellos,willow oak,NoDamage,None,No,No,2435 HARWAY AVENUE,Brooklyn
161193,409065,2015-08-20,9,0,OnCurb,Alive,Good,Quercus phellos,willow oak,NoDamage,TrunkOther,No,No,86 BOGOTA STREET,Staten Island
196132,206122,2015-09-02,19,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,2347 63 STREET,Brooklyn
196223,310465,2015-09-02,17,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,Damage,None,No,No,80-025 126 STREET,Queens
